biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 82b593 63a277
biome 6 e0ffae 5c694e 496137
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 82b593 63a277
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 53ca37 29bc05
biome 22 ffffff 53ca37 29bc05
biome 90 ffffff 91b971 76a64e
biome 91 ffffff 80b497 60a17b
biome 92 ffffff 80b497 60a17b
biome 93 ffffff aa8a4e b5a353
biome 94 ffffff baa960 c4cc55
biome 95 ffffff b9b953 a7a529
biome 96 ffffff a3e053 a3e053
biome 97 ffd932 8baf6b b0e088
biome 98 ffffff 92b77a 77a458
biome 99 ffffff 78ed85 78ed85
biome 100 ffffff bfb755 aea42a
biome 101 ffffff d8935f dae579
biome 102 ffffff bfb755 aea42a
biome 103 ffffff 9fb771 c9ce65
biome 104 ffffff c9c17f b2c67f
biome 105 ffffff a9ba64 a9ba64
biome 106 ffffff a9ba64 a9ba64
biome 107 ffffff c0d85d 77ab2f
biome 108 ffffff a3ffaa a3ffaa
biome 109 ffffff 80b497 60a17b
biome 110 ffffff 91b971 76a64e
biome 111 ffffff 7fbc6d 60aa48
biome 112 ffffff bfb755 aea42a
biome 113 0e6a35 94b77a 79a359
biome 114 ffffff aa8a4e b5a353
biome 115 ffffff bca165 bca165
biome 116 a2ad51 66704c 66704c
biome 117 ff0000 b9b953 a7a529
biome 118 ffffff c1b749 c4c93a
biome 119 ffffff b9b953 a7a529
biome 120 ffffff b9b953 a7a529
biome 121 ffffff 8ab689 6da36b
biome 122 ffffff bac481 ceb979
biome 123 ffffff 83bd65 65ab3e
biome 124 ffffff 79c05a 59ae30
biome 125 ffffff 79c05a 59ae30
biome 126 ffffff 83bd65 65ab3e
biome 127 ffffff abd6bc abd6bc
biome 128 00ff2e f0f970 a9fb6a
biome 129 ffffff 74d374 66e266
biome 130 ffffff 80b497 60a17b
biome 131 ffffff 7fdb7d 7fdb7d
biome 132 ffffff 86b688 67a369
biome 133 ffffff 517f51 619961
biome 134 ffffff cec577 aec681
biome 135 ffffff 8eb971 71a74d
biome 136 ffffff 86bb6f 68a94a
biome 137 ffffff 80b497 60a17b
biome 138 ffffff 7ca568 8acc6a
biome 139 4fff3f 62a03b 6bbc3c
biome 140 4fff3f 62a03b 6bbc3c
biome 141 ffffff 7fbc6d 60aa48
biome 142 ffffff a1c36d a1c36d
biome 143 ffffff a2ba5d 8ba835
biome 144 ffffff 6dc257 48b22c
biome 145 ffffff 78ed85 78ed85
biome 146 ffffff 6ac44e 45b421
biome 147 ffffff 86b688 67a369
biome 148 ffffff 7fbc6d 60aa48
biome 149 ffffff 63b26d 63b26d
biome 150 ffffff 63b26d 63b26d
biome 151 ffffff b9b953 a7a529
biome 152 588276 619365 619365
biome 153 ffffff 9cb774 83a352
biome 154 ff107a 69cfdb 70e099
biome 155 ffffff bfb755 aea42a
biome 156 ffffff 73c447 50b41a
biome 157 ffffff 7fbc6d 60aa48
biome 158 1e1b26 3f4151 3f4151
biome 159 ffffff d5ff6d d5ff6d
biome 160 ffffff a2ff5f 3aff00
biome 161 ffffff adb861 9aa539
biome 162 ffffff 8abf57 6dae2c
biome 163 ffffff b6ff5e 8bff56
biome 164 ffffff c8e84a c8e84a
biome 165 ffffff c8e84a c8e84a
biome 166 ffffff bfb755 aea42a
biome 167 ffffff 91bd59 77ab2f
biome 168 383d6b 80b497 60a17b
biome 169 ffffff c8e580 ade07b
biome 170 cc5100 9e8b69 9e8b69
biome 171 ffffff 1ad86c 14e26f
